Date,App_Name,Category,Minutes_Used
2026-07-27,TikTok,Social Media,72
2026-07-27,Instagram,Social Media,48
2026-07-27,Twitter/X,Social Media,46
2026-07-27,YouTube,Entertainment,21
2026-07-27,Netflix,Entertainment,46
2026-07-27,Spotify,Entertainment,50
2026-07-27,VS Code,Coding,62
2026-07-27,GitHub,Coding,58
2026-07-27,LeetCode,Coding,29
2026-07-27,Duolingo,Education,45
2026-07-27,Kindle,Education,40
2026-07-27,Coursera,Education,39
2026-07-28,TikTok,Social Media,59
2026-07-28,Instagram,Social Media,86
2026-07-28,Twitter/X,Social Media,27
2026-07-28,YouTube,Entertainment,29
2026-07-28,Netflix,Entertainment,25
2026-07-28,Spotify,Entertainment,48
2026-07-28,VS Code,Coding,16
2026-07-28,GitHub,Coding,55
2026-07-28,LeetCode,Coding,9
2026-07-28,Duolingo,Education,46
2026-07-28,Kindle,Education,25
2026-07-28,Coursera,Education,28
2026-07-29,TikTok,Social Media,50
2026-07-29,Instagram,Social Media,80
2026-07-29,Twitter/X,Social Media,65
2026-07-29,YouTube,Entertainment,43
2026-07-29,Netflix,Entertainment,34
2026-07-29,Spotify,Entertainment,21
2026-07-29,VS Code,Coding,42
2026-07-29,GitHub,Coding,41
2026-07-29,LeetCode,Coding,8
2026-07-29,Duolingo,Education,20
2026-07-29,Kindle,Education,22
2026-07-29,Coursera,Education,7
2026-07-30,TikTok,Social Media,58
2026-07-30,Instagram,Social Media,60
2026-07-30,Twitter/X,Social Media,60
2026-07-30,YouTube,Entertainment,66
2026-07-30,Netflix,Entertainment,34
2026-07-30,Spotify,Entertainment,59
2026-07-30,VS Code,Coding,47
2026-07-30,GitHub,Coding,14
2026-07-30,LeetCode,Coding,32
2026-07-30,Duolingo,Education,22
2026-07-30,Kindle,Education,26
2026-07-30,Coursera,Education,29
2026-07-31,TikTok,Social Media,28
2026-07-31,Instagram,Social Media,45
2026-07-31,Twitter/X,Social Media,51
2026-07-31,YouTube,Entertainment,35
2026-07-31,Netflix,Entertainment,63
2026-07-31,Spotify,Entertainment,22
2026-07-31,VS Code,Coding,57
2026-07-31,GitHub,Coding,39
2026-07-31,LeetCode,Coding,52
2026-07-31,Duolingo,Education,8
2026-07-31,Kindle,Education,34
2026-07-31,Coursera,Education,33
